id,document_id,document_filename,document_title,document_author,document_category,keyword,question,answer,proof,page_number
11,5,1_20251111_230530_Role_of_AI_in_Education.pdf,,,,AI in Education,What are some challenges associated with using chatbots in education?,"Challenges include ensuring a student-centered approach, promoting accessibility, and guaranteeing accuracy and reliability of information provided by chatbots.","The text mentions, 'One challenge is the need to ensure that chatbots are designed with a student-centered approach, taking into account students' needs, interests, and learning styles.' and 'Chatbots also need to be designed to promote accessibility, ensuring that all students can access and use the technology. Another challenge is the need to ensure that chatbots are accurate and reliable, providing correct information and avoiding biases or errors.'",4
12,5,1_20251111_230530_Role_of_AI_in_Education.pdf,,,,AI in Education,How can AI assist in the grading and assessment process?,"AI can automate the grading and assessment process, providing instant feedback to students and saving educators time and effort. AI algorithms can analyze student work and provide feedback based on pre-defined criteria.","The text states, 'AI can automate the grading and assessment process, providing instant feedback to students and saving educators time and effort (AlAli, Wardat, & Al -Qahtani, 2023) . AI algorithms can analyze student work and provide feedback based on pre-defined criteria, enabling students to receive immediate feedback on their performance.'",4
13,5,1_20251111_230530_Role_of_AI_in_Education.pdf,,,,AI in Education,How can AI improve student engagement in education?,"AI can improve student engagement by providing interactive and engaging learning experiences. For example, chatbots and virtual assistants can make learning more fun and interactive, and adaptive learning technologies can help students stay engaged by presenting material at their level of understanding.","AI can help improve student engagement by providing i nteractive and engaging learning experiences. For example, chatbots and virtual assistants can make learning more fun and interactive, and adaptive learning technologies can help students stay engaged by presenting material at their level of understanding.",5
14,5,1_20251111_230530_Role_of_AI_in_Education.pdf,,,,AI in Education,How can AI benefit teachers in understanding student performance?,"AI can analyze large amounts of data and provide insights into student performance, allowing teachers to better understand their students and tailor their instruction accordingly.","Better Data Analysis: AI can analyze large amounts of data and provide insights into student performance, allowing teachers to better understand their students and tailor their instruction accordingly.",5
15,5,1_20251111_230530_Role_of_AI_in_Education.pdf,,,,AI in Education,What are the privacy and security concerns associated with AI in education?,The collection and analysis of large amounts of personal data from students could pose a risk if it falls into the wrong hands. Institutions must ensure that they are taking appropriate measures to protect students' privacy and prevent data breaches.,Privacy and Security Concerns: The collection and analysis of large amounts of personal data from students could pose a risk if it falls into the wrong hands. Institutions must ensure that they are taking appropriate measures to protect students' privacy a nd prevent data breaches.,5
16,5,1_20251111_230530_Role_of_AI_in_Education.pdf,,,,AI in Education,Why might students be hesitant to accept AI-generated grades or feedback?,"Students may be hesitant to accept grades or feedback generated by an AI system, preferring to have human input and evaluation. It is important to establish trust with students and make them feel comfortable with the technology.","Lack of Trust: Students may be hesitant to accept grades or feedback generated by an AI system, preferring to have human input and evaluation. It is important to establish trus t with students and make them feel comfortable with t he technology.",5
17,5,1_20251111_230530_Role_of_AI_in_Education.pdf,,,,AI in Education,What is a significant financial challenge of implementing AI in education?,"AI systems can be expensive to implement and maintain, which can be a challenge for educational institutions that are already facing budget constraints.","Cost: AI systems can be expensive to implement and maintain, which can be a challenge for educational institutions that are already facing budget constraints.",5
18,5,1_20251111_230530_Role_of_AI_in_Education.pdf,,,,AI in Education,What is a potential issue with AI systems if trained on biased data?,"AI systems can be biased, particularly if they are trained on biased data. This can result in unfair treatment of certain students and perpetuate existing inequalities.","Potential Bias: AI systems can be biased, particularly if they are trained on biased data. This can result in unfair treatment of certain students and perpetuate existing inequalities.",5
19,5,1_20251111_230530_Role_of_AI_in_Education.pdf,,,,AI in Education,What ethical consideration must be made regarding accessibility in AI-based education systems?,"AI-based education systems must be designed with accessibility in mind, ensuring that all students, including those with disabilities, can access and use the technology.","Ensuring Accessibility: AI -based education systems must be designed with accessibility in mind, ensuring that all students, including those with disabilities, can acces s and use the technology.",5
20,5,1_20251111_230530_Role_of_AI_in_Education.pdf,,,,AI in Education,Why is transparency important for AI systems in education?,"AI systems must be transparent, with clear explanations of how they make decisions and why. This can help build trust with students and ensure that they understand the technology.","Transparency: AI systems must be transparent, with clear explanations of how they make decisions and why. This can help build trust with students and ensure that they unde rstand the technology.",5
21,5,1_20251111_230530_Role_of_AI_in_Education.pdf,,,,AI in Education,What must AI-based education systems ensure regarding student treatment?,"AI-based education systems must be fair, ensuring that all students are treated equally and not discriminated against based on their race, gender, or other factors.","Fairness: AI-based education systems must be fair, ensuring that all students are treated equally and not discriminated against based on their race, gender, or other factors.",5
22,5,1_20251111_230530_Role_of_AI_in_Education.pdf,,,,AI in Education,What is the general outlook for AI in education?,"The future of AI in education is bright, with opportunities for innovation and growth. AI has the potential to transform the way we teach and learn, making education more personalized, efficient, and effective.","The future of AI in education i s bright, with opportunities for innovation and growth. AI has the potential to transform the way we teach and learn, making education more personalized, efficient, and effective.",5
23,5,1_20251111_230530_Role_of_AI_in_Education.pdf,,,,Artificial Intelligence (AI),What are some applications of AI mentioned in the text?,"AI can be used for personalized healthcare services, Covid-19 disease detection using chest X-ray images, and smart healthcare monitoring systems based on fog computing. It can also be applied in simulations for removing COD and BOD based on polycarbonate mixed matrix membranes.","Yeruva, Ajay Reddy. (2023). Providing A Personalized Healthcare Service To The Patients Using AIO Ps Monitoring. Eduvest -Journal of Universal Studies , 3(2), 327–334.
Yeruva, Ajay Reddy, Choudhari, Pragati, Shrivastava, Anurag, Verma, Devvret, Shaw, Sanchita, & Rana, Ajay. (2022). Covid -19 Disease Detection using Chest X -Ray Images by Means of CNN. 2022 2nd International Conference on Technological Advancements in Computational Sciences (ICTACS) , 625–631. IEEE.
Yeruva, Ajay Reddy, Durga, C. S. L. Vijaya, Gokulavasan, B., Pant, Kumud, Chaturvedi, Prateek, & Srivastava, Arun Pratap. (2022). A Smart Healthc are Monitoring System Based on Fog Computing Architecture. 2022 2nd International Conference on Technological Advancements in Computational Sciences (ICTACS) , 904–909. IEEE.
Zahmatkesh, Sasan, Rezakhani, Yousof, Arabi, Alireza, Hasan, Mudassir, Ahmad, Zuba ir, Wang, Chongqing, Sillanp ää, Mika, Al -Bahrani, Mohammed, & Ghodrati, Iman. (2022). An approach to removing COD and BOD based on polycarbonate mixed matrix membranes that contain hydrous manganese oxide and silver nanoparticles: A novel application of ar tificial neural network based simulation in MATLAB. Chemosphere , 308, 136304.",9
24,5,1_20251111_230530_Role_of_AI_in_Education.pdf,,,,Creative Commons,What is the licensing for this article?,This article is licensed under a Creative Commons Attribution-ShareAlike 4.0 International license.,This article is licensed under a Creative Commons Attribution -ShareAlike 4.0 International,9
25,5,1_20251111_230530_Role_of_AI_in_Education.pdf,,,,Injurity - Interdisciplinary Journal and Humanity,Who holds the first publication right for this article?,The first publication right is held by Injurity - Interdisciplinary Journal and Humanity.,"First publication right:
Injurity - Interdiciplinary Journal and Humanity",9
26,7,1_20251113_130342_Role_of_AI_in_Education.pdf,,,,AI in Education,What is AI in education?,"Artificial intelligence (AI) in education refers to the use of artificial intelligence technologies, such as machine learning and natural language processing, to enhance the learning experience.","It involves the use of algorithms that analyze data, identify patterns, and make predictions, enabling educators to personalize learning for each student.",1-9
27,7,1_20251113_130342_Role_of_AI_in_Education.pdf,,,,AI in Education,What are the potential benefits of using AI in education?,"The potential benefits of using AI in education are significant, including personalized learning, increased efficiency, improved student engagement, and better data analysis.","Personalized learning can lead to better student outcomes, as students can learn at their own pace and in a way that suits their learning style. Intelligent tutoring systems, chatbots, and automated grading and assessment can increase efficiency, save teachers' time, and provide more accurate and consistent feedback.",1-9
28,7,1_20251113_130342_Role_of_AI_in_Education.pdf,,,,AI in Education,What are the challenges associated with using AI in education?,"There are also challenges associated with using AI in education, including privacy and security concerns, lack of trust, cost, and potential bias. Ethical considerations such as ensuring accessibility, transparency, and fairness in AI-based education systems also need to be taken into account.","Privacy and security concerns, lack of trust, cost, and potential bias are some of the challenges that need to be addressed. Ethical considerations such as ensuring accessibility, transparency, and fairness in AI-based education systems also need to be taken into account.",1-9
29,7,1_20251113_130342_Role_of_AI_in_Education.pdf,,,,Personalized Learning,How does AI enable personalized learning?,"AI plays a critical role in personalized learning by using machine learning algorithms to analyze data and identify patterns in students' learning behaviors, preferences, and achievements.","AI can then use this data to provide tailored learning experiences that meet the specific needs of each student. For example, AI can recommend appropriate learning resources, suggest areas for improvement, and adjust the difficulty level of learning tasks.",1-9
30,7,1_20251113_130342_Role_of_AI_in_Education.pdf,,,,Personalized Learning,What are the primary benefits of personalized learning?,One of the primary benefits of personalized learning is that it helps to ensure that each student receives the support and guidance they need to reach their full potential.,"Personalized learning can help struggling students catch up, while advanced students can be challenged at their level. By providing a personalized learning experience, students are more engaged and motivated to learn, which can lead to better academic performance and higher retention rates.",1-9
31,7,1_20251113_130342_Role_of_AI_in_Education.pdf,,,,Personalized Learning,What are the challenges of AI-based personalized learning?,One challenge is the need for reliable and accurate data to inform the AI algorithms.,"The quality of the data can affect the accuracy of the personalized learning experience, so it is important to ensure that the data is accurate and up-to-date. Another challenge is the need for training and professional development for teachers to effectively implement AI-based personalized learning.",1-9
32,7,1_20251113_130342_Role_of_AI_in_Education.pdf,,,,Chatbots,What are chatbots and how are they used in education?,"Chatbots are computer programs designed to simulate human conversation, enabling them to interact with people through text or voice interfaces. In recent years, chatbots have been increasingly used in education, providing personalized support to students, automating administrative tasks, and offering new opportunities for engagement.","Chatbots can act as virtual tutors, providing instant feedback, answering questions, and guiding students through their learning journey. Chatbots can also provide personalized recommendations for learning resources, suggest areas for improvement, and track progress, providing a more individualized learning experience.",1-9
33,7,1_20251113_130342_Role_of_AI_in_Education.pdf,,,,Chatbots,What are the benefits of using chatbots in education?,One of the primary benefits of using chatbots in education is their ability to provide personalized support to students.,"Chatbots can act as virtual tutors, providing instant feedback, answering questions, and guiding students through their learning journey. Chatbots can also provide personalized recommendations for learning resources, suggest areas for improvement, and track progress, providing a more individualized learning experience. Another benefit of using chatbots in education is their ability to automate administrative tasks. Chatbots can handle routine tasks such as scheduling, grading, and answering frequently asked questions, saving teachers' time and enabling them to focus on more high-value tasks such as teaching and mentoring.",1-9
34,7,1_20251113_130342_Role_of_AI_in_Education.pdf,,,,Chatbots,What are the challenges associated with chatbots in education?,"One challenge is the need to ensure that chatbots are designed with a student-centered approach, taking into account students' needs, interests, and learning styles.","Chatbots also need to be designed to promote accessibility, ensuring that all students can access and use the technology. Another challenge is the need to ensure that chatbots are accurate and reliable, providing correct information and avoiding biases or errors.",1-9
35,7,1_20251113_130342_Role_of_AI_in_Education.pdf,,,,AI in Grading and Assessment,How can AI automate the grading and assessment process?,"AI can automate the grading and assessment process, providing instant feedback to students and saving educators time and effort.","AI algorithms can analyze student work and provide feedback based on pre-defined criteria, enabling students to receive immediate feedback on their performance.",1-9
36,7,1_20251113_130342_Role_of_AI_in_Education.pdf,,,,AI in Grading and Assessment,What is an example of AI-powered automated grading?,One example of AI-powered automated grading is the use of automated essay grading systems.,These systems use natural language processing and machine learning algorithms to analyze student essays and provide instant feedback and scoring.,1-9
37,15,1_20251113_231441_asutay.pdf,Conceptualising and locating the social failure of Islamic finance: Aspirations of Islamic moral economy vs the realities of Islamic finance,"Asutay, Mehmet",,Islamic Moral Economy,What is the Islamic Moral Economy (IME)?,"The Islamic Moral Economy (IME) emerged in the post-1960 period as a response to the failure of economic development in the Muslim world and a rise in Islamic political identity, seeking an authentic understanding of Islamic economics derived from the Quran and Sunnah.","IME is a response to the failure of economic development in the Muslim world, whether capitalist, socialist or nationalist, with an authentic meaning derived from the ontology of Islam, namely the Qur’an and the Sunnah or the traditions of the Prophet of Islam [Asutay 2007a, 2007b].",1-10
38,15,1_20251113_231441_asutay.pdf,Conceptualising and locating the social failure of Islamic finance: Aspirations of Islamic moral economy vs the realities of Islamic finance,"Asutay, Mehmet",,Islamic Moral Economy,What are the foundational axioms of the Islamic Moral Economy (IME)?,"The foundational axioms of IME include the equality of individuals in relation to the Creator and equal opportunity to enjoy earthly bounties (tawhid), social justice and beneficence (adalah and ihsan) for horizontal equality, harmonious growth in environments with stakeholders (tazkiyah), and enabled individuals and societies reaching perfection (rububiyah), with mandatory socially oriented financial and economic obligations to overcome individual-society conflict.","The foundational axioms of IME include: (i) Tawhid, (ii) Adalah and ihsan, (iii) Tazkiyah, (iv) Rububiyah, and (v) the process of tazkiyah to overcome conflict between individuals and society, leading to mandatory obligations.",1-10
39,15,1_20251113_231441_asutay.pdf,Conceptualising and locating the social failure of Islamic finance: Aspirations of Islamic moral economy vs the realities of Islamic finance,"Asutay, Mehmet",,Islamic Moral Economy,What is the ultimate objective of the Islamic Moral Economy (IME)?,"The ultimate objective of IME and its operational aspect of Shari'ah is to serve 'human well-being', which is the main aim within the tawhidi framework.","All these axioms, as the foundational framework of IME, are the articulation and operationalisational aspect of maqasid al-Shari’ah or the ‘objectives of Shari ’ah’ process, which is defined as realizing ‘human well-being.’",1-10
40,15,1_20251113_231441_asutay.pdf,Conceptualising and locating the social failure of Islamic finance: Aspirations of Islamic moral economy vs the realities of Islamic finance,"Asutay, Mehmet",,Islamic Moral Economy,What kind of individual does IME assume at its methodological base?,"IME assumes a morally oriented individual, considered 'homoIslamicus,' who aims to achieve 'ihsan' (benevolence/excellence) through the 'falah' (salvation) process, incorporating accountability for the Hereafter into their decision-making.","It should be noted that IME assumes a morally oriented individual at its methodological base, which can be considered as ‘homoIslamicus ’ [Asutay 2007a, 2007b]. Such an imagined individual is expected to aim at achieving ‘ihsan ’ or ‘beneﬁ cence/excellence ’ in whatever he/ she does through the ‘falah ’ or ‘salvation ’ process in this world and the Hereafter.",1-10
41,15,1_20251113_231441_asutay.pdf,Conceptualising and locating the social failure of Islamic finance: Aspirations of Islamic moral economy vs the realities of Islamic finance,"Asutay, Mehmet",,Islamic Moral Economy,What principles does IME refer to as a system?,"As a system, IME refers to economic and sustainable development, social justice, and social investing principles, assuming a human-centered development strategy where individuals strive for benevolence and salvation in this world and the Hereafter.","In terms of the consequentialist approach, as implications, the foundational axioms demonstrate, as a system, that IME refers to economic and sustainable development, social justice and social investing oriented principles. They assume a human centred development strategy with individuals aiming to reach ihsan or beneﬁ cence or excellence due to aiming for falah or salavation in this world and in Hereafter as the aim of this life.",1-10
42,15,1_20251113_231441_asutay.pdf,Conceptualising and locating the social failure of Islamic finance: Aspirations of Islamic moral economy vs the realities of Islamic finance,"Asutay, Mehmet",,Islamic Moral Economy,How are Islamic Banking and Financial Institutions (IBFIs) considered within the system of IME?,"Within the system of IME, IBFIs are considered functional institutions for raising and pooling funds and financing economic activity, progress, and development, serving as a moral system of economy and society.","It is only within the system of IME that IBFIs are considered as functional institutions in terms of raising and pooling the necessary funds and ﬁ nancing for economic activity, progress and development.",1-10
43,15,1_20251113_231441_asutay.pdf,Conceptualising and locating the social failure of Islamic finance: Aspirations of Islamic moral economy vs the realities of Islamic finance,"Asutay, Mehmet",,Islamic Banking and Finance (IBF),What is the origin and purpose of Islamic Banking and Finance (IBF)?,"The origin of IBF can be traced to early Islamic civilization, aiming to regulate economic and financial activity according to Islamic moral norms and values, re-emerging systemically after WWII as a search for authentic economic meaning through Islamic values.","The origin of Islamic banking and ﬁ nance (IBF) can be traced to the initial years of the Islamic civilisation, as Islam through its teaching under the supervision of the Prophet of Islam aimed at regulating and shaping economic and ﬁ nancial activity according to the moral norms and values of Islam.",1-10
44,15,1_20251113_231441_asutay.pdf,Conceptualising and locating the social failure of Islamic finance: Aspirations of Islamic moral economy vs the realities of Islamic finance,"Asutay, Mehmet",,Islamic Banking and Finance (IBF),How did IBF evolve institutionally?,"Initially, IBF aimed for social and developmental goals, exemplified by Mith Ghamr Bank in Egypt in 1963, which focused on capacity and individual development; however, this was short-lived, and since 1975, IBFIs have operated commercially.","However, these commercial IBFIs should be considered as the second stage, as initially in 1963, Mith Ghamr Bank was established in Egypt based on the moral economy understanding of Islam beyond commercial IBF, as Mith Ghamr Bank aimed for capacity development, and economic and individual development [Mayer 1985].",1-10
45,15,1_20251113_231441_asutay.pdf,Conceptualising and locating the social failure of Islamic finance: Aspirations of Islamic moral economy vs the realities of Islamic finance,"Asutay, Mehmet",,Islamic Banking and Finance (IBF),What has been the financial performance of IBFIs?,"IBFIs have experienced unprecedented financial success since 1975, with assets reaching approximately USD 1.2 trillion and growing at 15-20% per annum until the 2008 crisis, after which growth moderated to less than 10% annually, still outperforming conventional banks.","The performance of IBFIs in the last thirty- ﬁ ve years indicates that this banking and ﬁ nance proposition has been unprecendently successful despite an entirely adverse attitude from the Muslim authorities in Muslim countries and beyond [Iqbal and Molyneux 2005]. The recent reports demonstrate that the assets of IBFIs have reached about USD 1,2 trillion, which of course still constitutes a small portion of the global ﬁ nancial system [ The Banker 2010].",1-10
46,15,1_20251113_231441_asutay.pdf,Conceptualising and locating the social failure of Islamic finance: Aspirations of Islamic moral economy vs the realities of Islamic finance,"Asutay, Mehmet",,Islamic Banking and Finance (IBF),What are the key principles of IBF as a value-oriented proposition within IME?,"IBF is a tenant-based proposition derived from Islamic ontology, emphasizing absence of interest, avoidance of speculation, and prohibition of contradicting Islamic values; it is principles-based, grounded in ethics and values akin to ethical investing, with emphasis on risk-sharing and profit-and-loss sharing, discouraging credit and debt products. It proposes embedded financing in the real economy through asset-backed transactions, aiming for stability and restraining consumer indebtedness. It is also society-oriented, serving the community with instruments for poverty reduction like zakah and qard hasan.","IBF is a tenant based ﬁ nancing proposition, as fundamental tenants are derived from the ontological sources of Islam, which is articulated in the ‘absence of interest-based transactions, ’ ‘avoidance of economic activity involving speculation, ’ and the ‘prohibition on production of goods and services which contradict the values of Islam.’ IBF is principles based, as the concept is grounded in ethics, values and norms derived from the Islamic ontology. Therefore, the principles of IBF are akin to ethical investing, and therefore, ethicality in funding and investing beyond the prohibition of riba is essential. In addition, importantly, IBF puts special emphasis on risk-sharing and partnership or pro ﬁ t-and-loss sharing contracts. In this ﬁ nancing proposition ‘credit and debt products are not encouraged ’ and were even eagerly discouraged so that real economy embedded ﬁ nancing as assumed by IME could be developed. IBF, as part of IME, proposes embedded ﬁ nancing—embedded in real economy, and therefore it offers an alternative ﬁ nancing paradigm. This is articulated in the principle of asset-backed transactions with investments in real, durable assets to contribute to the development of value added oriented real economy based ﬁ nancing of economic activity. As a consequence, IBF aims to bring about stability by linking ﬁ nancial services to the productive, real economy. On the demand side, IBF, as part of homoIslamicus, aims to restrain consumer indebtedness as credit is linked to real assets. IBF is a society oriented ﬁ nancing proposition, as it aims to serve the community and not the markets. Since IME aims to create a framework of developmentalist ﬁ nancing, instruments of poverty-reduction are an inherent part of IBF. For this purpose, in addition to Islamic ﬁ nancing of economic activity for development, zakah and qard hasan can be mentioned.",1-10
47,15,1_20251113_231441_asutay.pdf,Conceptualising and locating the social failure of Islamic finance: Aspirations of Islamic moral economy vs the realities of Islamic finance,"Asutay, Mehmet",,Social Failure of Islamic Banking and Finance (IBFIs),Why are Islamic Banks and Financial Institutions (IBFIs) criticized for social failure?,IBFIs are criticized for social failure because their transformation into commercial banking forms has led to unprecedented financial performance at the expense of the 'social and economic developmentalist' aspirations of Islamic moral economy.,"However, the transformation of Islamic banking into a commercial banking form since mid-1975 has resulted in unprecentedly successful ﬁ nancial performance, which, however, has been at the expense of the ‘social and economic developmentalist’ aspirations of Islamic moral economy. Therefore Islamic banks and ﬁ nancial institutions are criticised for their social failure.",1-10
48,15,1_20251113_231441_asutay.pdf,Conceptualising and locating the social failure of Islamic finance: Aspirations of Islamic moral economy vs the realities of Islamic finance,"Asutay, Mehmet",,Social Failure of Islamic Banking and Finance (IBFIs),What is the main divergence between the aspirations of IME and the realities of IBFIs?,"The main divergence lies in ethical and social expectations, with IBFIs showing overwhelming convergence with conventional banks in operations and products, compromising their moral economy objectives for financialization and efficiency over equity.","A critical analysis of the performance of IBFIs, however, indicates that there is a growing divergence between the aspirations of IME and the realities of IBFIs. This divergence mainly demonstrates itself in ethical and social expectations related areas, and therefore it is valid to claim the ‘social failure ’ of IBFIs with the evidence produced by a growing body of empirical literature.",1-10
49,15,1_20251113_231441_asutay.pdf,Conceptualising and locating the social failure of Islamic finance: Aspirations of Islamic moral economy vs the realities of Islamic finance,"Asutay, Mehmet",,Social Failure of Islamic Banking and Finance (IBFIs),How does the relationship between IBFIs and the conventional monetary system contribute to their social failure?,"IBFIs operate within the conventional monetary system, making them susceptible to its business cycles and leading to an exaggerated notion of their resilience. A significant issue is the return of interest (riba) through various mechanisms, such as using it as a benchmark for project evaluation and markup values, which is evidenced by studies showing correlations between IBFIs' returns and interest rate changes.","IBFIs operate within the existing economic and monetary system, and therefore they are inevitably affected not only by the operation of the monetary system but also by the business cycles of the economy in which they are operating. Therefore, the ‘resilience ’ of IBF during the ﬁ nancial crisis is an overly exaggerated issue, as when the business cycle is running into dif ﬁ culty, it is inevitable that the IBFIs will also be affected, as was the case in Dubai. Important however, is the return of riba or interest through different mechanisms into the IBFI operations, as interest is still used as a benchmark to measure the time cost of money in IBFIs in their project evaluation, markup value and beyond.",1-10
50,15,1_20251113_231441_asutay.pdf,Conceptualising and locating the social failure of Islamic finance: Aspirations of Islamic moral economy vs the realities of Islamic finance,"Asutay, Mehmet",,Social Failure of Islamic Banking and Finance (IBFIs),"What is 'financialization' of IBF, and how does it contribute to social failure?","Financialization of IBF involves the creation of new financial instruments through financial engineering, bringing IBF closer to conventional finance by internalizing its shortcomings and compromising IBF's value system, leading to a focus on financial outcomes rather than real economy financing and stability as intended by IME.","However, in recent years, through ﬁ nancial engineering a number of new instruments have been produced in responding to the sophisticated ﬁ nancial needs of the corporate and ﬁ nancial sectors. However, developments of such products bring IBF even closer to conventional ﬁ nance by endogenising the shortcomings of conventional ﬁ nance into the IBF realm. In other words, ‘ﬁ nancialisation ’ through such new products is a result of mimicking the conventional sector.",1-10
51,15,1_20251113_231441_asutay.pdf,Conceptualising and locating the social failure of Islamic finance: Aspirations of Islamic moral economy vs the realities of Islamic finance,"Asutay, Mehmet",,Social Failure of Islamic Banking and Finance (IBFIs),Why is the overwhelming popularity of debt financing over asset-based financing a problem for IBFIs?,"The prevalence of debt financing, particularly through instruments like murabahah, in IBFIs, deviates from IME's preference for risk-sharing and profit-and-loss sharing (asset-based) financing, indicating a shift towards conventional banking practices and away from its aspirational origins.","A critical examination of IBFIs ﬁ nancing, however, quickly identi ﬁ es that debt ﬁ nancing has become the majority ﬁ nancing method in IBFIs. A number of studies, among others Aggarwal and Yousef [2000], Iqbal and Molyneux [2005], Zubair Hasan [2007], Nagaoka [2007] and Jan [2011] show that debt-based ﬁ nancing has become the major source of ﬁ nancing in the IBF industry as in conventional banking.",1-10
52,15,1_20251113_231441_asutay.pdf,Conceptualising and locating the social failure of Islamic finance: Aspirations of Islamic moral economy vs the realities of Islamic finance,"Asutay, Mehmet",,Islamic Finance (IBF),Why has Islamic finance opted for profitability and efficiency over equity and value propositions?,"IBF has opted for profitability and efficiency over equity and value propositions of IME because equity-oriented financial products are rather risky due to the microeconomics of credit and loans, while mark-up oriented murabahah offers a much less risky and higher fixed return.","Due to the microeconomics of credit and loans, equity oriented ﬁnancial products are rather risky, while mark-up oriented murabahah , for example, is much less risky and brings a much higher ( ﬁxed) return.",11-20
53,15,1_20251113_231441_asutay.pdf,Conceptualising and locating the social failure of Islamic finance: Aspirations of Islamic moral economy vs the realities of Islamic finance,"Asutay, Mehmet",,Islamic Financial Institutions (IBFIs),What has been the contribution of IBFIs to economic and social development over their existence?,"While IBFIs have contributed to economic growth, their contribution to economic and social development has been negligible.","While IBFIs in their over thirty- ﬁve years of existence have undeniably contributed to economic growth, their contribution to economic and social development is negligible.",11-20
